sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YDR156W	328	241	235	110	122	135	137	120	104
YDR157W	16	14	16	29	17	6	14	15	13
YDR158W	8597	8027	8404	703	550	771	1009	644	1047
YDR159W	771	690	680	72	66	90	83	56	81
YDR160W	461	412	415	29	32	22	39	21	29
YDR161W	1700	1511	1552	46	48	63	60	27	54
YDR162C	526	460	421	168	135	165	262	160	253
YDR163W	307	281	268	91	61	79	112	108	128
YDR164C	872	772	809	24	25	22	19	20	20
YDR165W	1520	1490	1474	67	83	75	83	87	72
YDR166C	800	794	903	24	29	26	52	43	61
YDR167W	697	663	619	75	80	67	126	114	121
YDR168W	1648	1576	1583	92	108	131	161	133	187
YDR169C	1027	899	817	41	32	35	34	34	47
YDR169C-A	2	6	7	6	2	5	0	2	1
YDR170C	1856	1936	1886	348	318	432	447	357	568
tQ(UUG)D3	0	0	0	1	0	0	1	1	1
YDR170W-A	70	70	68	15	19	17	16	16	18
YDR171W	7652	7078	7336	194	225	245	282	227	312
YDR172W	3822	3720	3738	115	128	129	195	122	192
YDR173C	469	363	372	7	12	14	18	12	24
YDR174W	3125	2664	2744	116	115	127	158	141	134
YDR175C	752	675	672	49	50	61	83	64	74
YDR176W	1035	854	875	80	70	80	87	72	68
YDR177W	1241	1091	1048	96	86	101	114	90	97
YDR178W	1364	1150	1130	75	70	75	52	43	47
YDR179C	77	67	95	48	41	55	62	32	46
YDR179W-A	165	191	168	10	12	9	15	13	14
YDR180W	266	262	250	11	19	17	20	14	24
YDR181C	375	364	364	19	31	29	36	25	40
YDR182W	989	785	880	58	67	94	130	80	111
YDR182W-A	11	6	11	0	0	0	0	1	0
YDR183W	244	224	189	29	34	52	63	43	49
YDR183C-A	46	48	39	3	4	1	1	4	5
YDR184C	487	411	431	201	192	289	212	171	192
YDR185C	388	328	338	32	37	48	49	40	36
YDR186C	1313	1077	1164	78	70	103	67	55	81
